,model,level,threshold,method,accuracy,f1_score,recall,precision
0,base_model,,0.5,method2,0.0893048128342246,0.163966617574865,1.0,0.0893048128342246
1,base_model,,0.55,method2,0.09106951871657754,0.16373923739237392,0.9964071856287425,0.089198606271777
2,base_model,,0.6000000000000001,method2,0.1537433155080214,0.16793732583206267,0.9562874251497006,0.09205141506715084
3,base_model,,0.6500000000000001,method2,0.45524064171122997,0.1931089108910891,0.729940119760479,0.11127339114559562
4,base_model,,0.7000000000000002,method2,0.7684491978609626,0.218975468975469,0.36347305389221557,0.15668559628291173
5,base_model,,0.7500000000000002,method2,0.8797326203208556,0.13533256439830832,0.10538922155688622,0.18904403866809882
6,base_model,,0.8000000000000003,method2,0.9051336898395722,0.049303322615219726,0.027544910179640718,0.23469387755102042
7,base_model,,0.8500000000000003,method2,0.9097326203208557,0.014018691588785045,0.00718562874251497,0.2857142857142857
8,base_model,,0.9000000000000004,method2,0.9105347593582888,0.004759071980963712,0.0023952095808383233,0.36363636363636365
9,full_models2,level3,0.5,method2,0.09064171122994652,0.16400373629615064,0.9988023952095808,0.08933640404906004
10,full_models2,level3,0.55,method2,0.09748663101604278,0.16429809358752165,0.9934131736526947,0.08955465587044534
11,full_models2,level3,0.6000000000000001,method2,0.1160427807486631,0.16506717850287908,0.9784431137724551,0.09013680494263018
12,full_models2,level3,0.6500000000000001,method2,0.1535294117647059,0.16763948046484722,0.9544910179640719,0.09188908745027959
13,full_models2,level3,0.7000000000000002,method2,0.22139037433155082,0.16904462960849218,0.8868263473053892,0.09342669694675751
14,full_models2,level3,0.7500000000000002,method2,0.3407486631016043,0.17505353319057818,0.7832335329341318,0.09853849630857316
15,full_models2,level3,0.8000000000000003,method2,0.49663101604278076,0.17306509707458492,0.5898203592814372,0.10141048079892927
16,full_models2,level3,0.8500000000000003,method2,0.6742245989304813,0.1702533369654045,0.37425149700598803,0.1101904090267983
17,full_models2,level3,0.9000000000000004,method2,0.8160427807486631,0.13827655310621242,0.16526946107784432,0.11886304909560723
18,full_models2,level1,0.5,method2,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
19,full_models2,level1,0.55,method2,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
20,full_models2,level1,0.6000000000000001,method2,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
21,full_models2,level1,0.6500000000000001,method2,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
22,full_models2,level1,0.7000000000000002,method2,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
23,full_models2,level1,0.7500000000000002,method2,0.09964349376114082,0.18052025309610079,0.9994011976047904,0.09922121158076214
24,full_models2,level1,0.8000000000000003,method2,0.28383838383838383,0.17620121659490123,0.7718562874251497,0.09945220276213255
25,full_models2,level1,0.8500000000000003,method2,0.7272727272727273,0.15748898678414097,0.2568862275449102,0.11355214399152991
26,full_models2,level1,0.9000000000000004,method2,0.8960784313725491,0.055105348460291734,0.03053892215568862,0.281767955801105
27,tsdae_model,pretraining,0.5,method2,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
28,tsdae_model,pretraining,0.55,method2,0.10142602495543672,0.18081360706353936,0.9994011976047904,0.09939848728485498
29,tsdae_model,pretraining,0.6000000000000001,method2,0.12400475341651812,0.1830775198093866,0.9892215568862276,0.1008731757953227
30,tsdae_model,pretraining,0.6500000000000001,method2,0.25668449197860965,0.1929032258064516,0.8952095808383234,0.10809833694866233
31,tsdae_model,pretraining,0.7000000000000002,method2,0.5336898395721925,0.2080726538849647,0.6173652694610778,0.12512135922330098
32,tsdae_model,pretraining,0.7500000000000002,method2,0.784194890077243,0.21180555555555558,0.29221556886227545,0.16609938733832538
33,tsdae_model,pretraining,0.8000000000000003,method2,0.8766488413547238,0.11584327086882454,0.081437125748503,0.20058997050147492
34,tsdae_model,pretraining,0.8500000000000003,method2,0.8975044563279857,0.027072758037225045,0.01437125748502994,0.23300970873786409
35,tsdae_model,pretraining,0.9000000000000004,method2,0.9005347593582887,0.00829383886255924,0.004191616766467066,0.3888888888888889
36,job_models,level1,0.5,method2,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
37,job_models,level1,0.55,method2,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
38,job_models,level1,0.6000000000000001,method2,0.0992275698158051,0.18054054054054053,1.0,0.0992275698158051
39,job_models,level1,0.6500000000000001,method2,0.09916815210932858,0.18044218606411158,0.9994011976047904,0.09917404480361282
40,job_models,level1,0.7000000000000002,method2,0.10243612596553774,0.18009118541033434,0.9934131736526947,0.09902112928255939
41,job_models,level1,0.7500000000000002,method2,0.19631610219845513,0.18242263056092844,0.9035928143712575,0.10145219846712385
42,job_models,level1,0.8000000000000003,method2,0.6373737373737374,0.18637514998000268,0.418562874251497,0.11987652203738638
43,job_models,level1,0.8500000000000003,method2,0.8828282828282829,0.08449396471680594,0.05449101796407185,0.18801652892561985
44,job_models,level1,0.9000000000000004,method2,0.8998217468805704,0.011723329425556858,0.005988023952095809,0.2777777777777778
45,concept_models,level3,0.5,method2,0.1144385026737968,0.18100890207715137,0.9862275449101796,0.09964908034849952
46,concept_models,level3,0.55,method2,0.13101604278074866,0.18108516714261716,0.9682634730538923,0.09988263635802087
47,concept_models,level3,0.6000000000000001,method2,0.16161616161616163,0.18088935330314643,0.932934131736527,0.1001542813062484
48,concept_models,level3,0.6500000000000001,method2,0.2101010101010101,0.18079861966970667,0.8784431137724551,0.10076933644731419
49,concept_models,level3,0.7000000000000002,method2,0.2905525846702317,0.1823037940008218,0.7970059880239521,0.10292298175069595
50,concept_models,level3,0.7500000000000002,method2,0.40154486036838977,0.18366023666720702,0.6784431137724551,0.10620547431571054
51,concept_models,level3,0.8000000000000003,method2,0.5414141414141415,0.18466089161208535,0.5233532934131736,0.112108773730118
52,concept_models,level3,0.8500000000000003,method2,0.6941770647653001,0.1729069580588141,0.3221556886227545,0.11816384801229958
53,concept_models,level3,0.9000000000000004,method2,0.8191919191919191,0.14209190865520158,0.15089820359281436,0.1342567927543953
