,model,level,threshold,method,accuracy,f1_score,recall,precision
45,job_models,alt,0.5,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
46,job_models,alt,0.55,1,0.1229946524064171,0.1810918774966711,0.977245508982036,0.0997920997920998
47,job_models,alt,0.6000000000000001,1,0.5752822341057635,0.2085916740478299,0.5640718562874252,0.1279543602281988
48,job_models,alt,0.6500000000000001,1,0.883184789067142,0.0948434622467771,0.0616766467065868,0.2051792828685259
49,job_models,alt,0.7000000000000002,1,0.9002970885323827,0.0141010575793184,0.0071856287425149,0.375
50,job_models,alt,0.7500000000000002,1,0.9006535947712418,0.001194743130227,0.0005988023952095,0.25
51,job_models,alt,0.8000000000000003,1,0.9007724301841948,0.0,0.0,0.0
52,job_models,alt,0.8500000000000003,1,0.9007724301841948,0.0,0.0,0.0
53,job_models,alt,0.9000000000000004,1,0.9007724301841948,0.0,0.0,0.0
54,full_models2,level2,0.5,1,0.1022578728461081,0.1802398133579295,0.9946107784431136,0.0990990990990991
55,full_models2,level2,0.55,1,0.1771241830065359,0.1773685773685773,0.8940119760479042,0.0984503791625453
56,full_models2,level2,0.6000000000000001,1,0.2761734997029114,0.1774476704929102,0.7868263473053893,0.1
57,full_models2,level2,0.6500000000000001,1,0.3566844919786096,0.1721844177689425,0.6742514970059881,0.0986940134981155
58,full_models2,level2,0.7000000000000002,1,0.4641117052881758,0.1680656765980998,0.5455089820359281,0.0993348598844182
59,full_models2,level2,0.7500000000000002,1,0.603802733214498,0.158080808080808,0.3748502994011976,0.10016
60,full_models2,level2,0.8000000000000003,1,0.7528817587641117,0.1472216526553209,0.2149700598802395,0.111942625506704
61,full_models2,level2,0.8500000000000003,1,0.8527035056446821,0.1040838453198409,0.0862275449101796,0.1312670920692798
62,full_models2,level2,0.9000000000000004,1,0.8934640522875817,0.0323799244468429,0.0179640718562874,0.1639344262295081
63,concept_models,alt,0.5,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
64,concept_models,alt,0.55,1,0.122875816993464,0.1811626358997115,0.9778443113772456,0.0998288299303093
65,concept_models,alt,0.6000000000000001,1,0.574212715389186,0.2083517454706142,0.5646706586826348,0.1277431590354917
66,concept_models,alt,0.6500000000000001,1,0.8831253713606655,0.0947998159226875,0.0616766467065868,0.2047713717693837
67,concept_models,alt,0.7000000000000002,1,0.9002970885323827,0.0141010575793184,0.0071856287425149,0.375
68,concept_models,alt,0.7500000000000002,1,0.9006535947712418,0.001194743130227,0.0005988023952095,0.25
69,concept_models,alt,0.8000000000000003,1,0.9007724301841948,0.0,0.0,0.0
70,concept_models,alt,0.8500000000000003,1,0.9007724301841948,0.0,0.0,0.0
71,concept_models,alt,0.9000000000000004,1,0.9007724301841948,0.0,0.0,0.0
72,job_models,level3,0.5,1,0.1465834818775995,0.1787409228658013,0.9359281437125748,0.0988052342120235
73,job_models,level3,0.55,1,0.1967320261437908,0.1772259752906092,0.8718562874251496,0.0986383036379649
74,job_models,level3,0.6000000000000001,1,0.3031491384432561,0.1760573275256428,0.7502994011976047,0.0997293855460044
75,job_models,level3,0.6500000000000001,1,0.4549613784907902,0.1739756866276452,0.578443113772455,0.1023847376788553
76,job_models,level3,0.7000000000000002,1,0.6334521687462864,0.164205392223276,0.362874251497006,0.1061110138329539
77,job_models,level3,0.7500000000000002,1,0.7932263814616756,0.1394658753709198,0.1688622754491018,0.1187868576242628
78,job_models,level3,0.8000000000000003,1,0.8731431966726084,0.0680925360104757,0.0467065868263473,0.1256038647342995
79,job_models,level3,0.8500000000000003,1,0.8972667855020796,0.0237154150197628,0.0125748502994011,0.2079207920792079
80,job_models,level3,0.9000000000000004,1,0.9003565062388592,0.0023795359904818,0.0011976047904191,0.1818181818181818
81,concept_models,level1,0.5,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
82,concept_models,level1,0.55,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
83,concept_models,level1,0.6000000000000001,1,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
84,concept_models,level1,0.6500000000000001,1,0.0994058229352347,0.1803925809765857,0.9988023952095808,0.0991499732509064
85,concept_models,level1,0.7000000000000002,1,0.1547237076648841,0.1796793910736939,0.932934131736527,0.0994129657988769
86,concept_models,level1,0.7500000000000002,1,0.7201426024955436,0.1800139275766016,0.3095808383233533,0.1269023073146784
87,concept_models,level1,0.8000000000000003,1,0.9005941770647653,0.0035735556879094,0.0017964071856287,0.3333333333333333
88,concept_models,level1,0.8500000000000003,1,0.9007724301841948,0.0,0.0,0.0
89,concept_models,level1,0.9000000000000004,1,0.9007724301841948,0.0,0.0,0.0
90,concept_models,level2,0.5,1,0.1271538918597742,0.1817067736185383,0.9766467065868264,0.1001719690455718
91,concept_models,level2,0.55,1,0.8653000594177065,0.1376949410422213,0.1083832335329341,0.1887382690302398
92,concept_models,level2,0.6000000000000001,1,0.8997029114676174,0.0047169811320754,0.0023952095808383,0.1538461538461538
93,concept_models,level2,0.6500000000000001,1,0.9008318478906714,0.0011968880909634,0.0005988023952095,1.0
94,concept_models,level2,0.7000000000000002,1,0.9007724301841948,0.0,0.0,0.0
95,concept_models,level2,0.7500000000000002,1,0.9007724301841948,0.0,0.0,0.0
96,concept_models,level2,0.8000000000000003,1,0.9007724301841948,0.0,0.0,0.0
97,concept_models,level2,0.8500000000000003,1,0.9007724301841948,0.0,0.0,0.0
98,concept_models,level2,0.9000000000000004,1,0.9007724301841948,0.0,0.0,0.0
99,job_models,level2,0.5,1,0.1477718360071301,0.1829678154371973,0.9616766467065868,0.1011016682404784
100,job_models,level2,0.55,1,0.8939393939393939,0.0261865793780687,0.0143712574850299,0.147239263803681
101,job_models,level2,0.6000000000000001,1,0.9002970885323827,0.0023781212841854,0.0011976047904191,0.1666666666666666
102,job_models,level2,0.6500000000000001,1,0.9005347593582887,0.0011933174224343,0.0005988023952095,0.1666666666666666
103,job_models,level2,0.7000000000000002,1,0.9007130124777184,0.0,0.0,0.0
104,job_models,level2,0.7500000000000002,1,0.9007724301841948,0.0,0.0,0.0
105,job_models,level2,0.8000000000000003,1,0.9007724301841948,0.0,0.0,0.0
106,job_models,level2,0.8500000000000003,1,0.9007724301841948,0.0,0.0,0.0
107,job_models,level2,0.9000000000000004,1,0.9007724301841948,0.0,0.0,0.0
108,base_model,,0.5,2,0.0893048128342246,0.163966617574865,1.0,0.0893048128342246
109,base_model,,0.55,2,0.0910695187165775,0.1637392373923739,0.9964071856287424,0.089198606271777
110,base_model,,0.6000000000000001,2,0.1537433155080214,0.1679373258320626,0.9562874251497006,0.0920514150671508
111,base_model,,0.6500000000000001,2,0.4552406417112299,0.1931089108910891,0.729940119760479,0.1112733911455956
112,base_model,,0.7000000000000002,2,0.7684491978609626,0.218975468975469,0.3634730538922155,0.1566855962829117
113,base_model,,0.7500000000000002,2,0.8797326203208556,0.1353325643983083,0.1053892215568862,0.1890440386680988
114,base_model,,0.8000000000000003,2,0.9051336898395722,0.0493033226152197,0.0275449101796407,0.2346938775510204
115,base_model,,0.8500000000000003,2,0.9097326203208556,0.014018691588785,0.0071856287425149,0.2857142857142857
116,base_model,,0.9000000000000004,2,0.9105347593582888,0.0047590719809637,0.0023952095808383,0.3636363636363636
117,full_models2,level3,0.5,2,0.0906417112299465,0.1640037362961506,0.9988023952095808,0.08933640404906
118,full_models2,level3,0.55,2,0.0974866310160427,0.1642980935875216,0.9934131736526948,0.0895546558704453
119,full_models2,level3,0.6000000000000001,2,0.1160427807486631,0.165067178502879,0.9784431137724552,0.0901368049426301
120,full_models2,level3,0.6500000000000001,2,0.1535294117647059,0.1676394804648472,0.954491017964072,0.0918890874502795
121,full_models2,level3,0.7000000000000002,2,0.2213903743315508,0.1690446296084921,0.8868263473053892,0.0934266969467575
122,full_models2,level3,0.7500000000000002,2,0.3407486631016043,0.1750535331905781,0.7832335329341318,0.0985384963085731
123,full_models2,level3,0.8000000000000003,2,0.4966310160427807,0.1730650970745849,0.5898203592814372,0.1014104807989292
124,full_models2,level3,0.8500000000000003,2,0.6742245989304813,0.1702533369654045,0.374251497005988,0.1101904090267983
125,full_models2,level3,0.9000000000000004,2,0.8160427807486631,0.1382765531062124,0.1652694610778443,0.1188630490956072
126,full_models2,level1,0.5,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
127,full_models2,level1,0.55,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
128,full_models2,level1,0.6000000000000001,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
129,full_models2,level1,0.6500000000000001,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
130,full_models2,level1,0.7000000000000002,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
131,full_models2,level1,0.7500000000000002,2,0.0996434937611408,0.1805202530961007,0.9994011976047904,0.0992212115807621
132,full_models2,level1,0.8000000000000003,2,0.2838383838383838,0.1762012165949012,0.7718562874251497,0.0994522027621325
133,full_models2,level1,0.8500000000000003,2,0.7272727272727273,0.1574889867841409,0.2568862275449102,0.1135521439915299
134,full_models2,level1,0.9000000000000004,2,0.8960784313725491,0.0551053484602917,0.0305389221556886,0.281767955801105
135,tsdae_model,pretraining,0.5,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
136,tsdae_model,pretraining,0.55,2,0.1014260249554367,0.1808136070635393,0.9994011976047904,0.0993984872848549
137,tsdae_model,pretraining,0.6000000000000001,2,0.1240047534165181,0.1830775198093866,0.9892215568862276,0.1008731757953227
138,tsdae_model,pretraining,0.6500000000000001,2,0.2566844919786096,0.1929032258064516,0.8952095808383234,0.1080983369486623
139,tsdae_model,pretraining,0.7000000000000002,2,0.5336898395721925,0.2080726538849647,0.6173652694610778,0.1251213592233009
140,tsdae_model,pretraining,0.7500000000000002,2,0.784194890077243,0.2118055555555555,0.2922155688622754,0.1660993873383253
141,tsdae_model,pretraining,0.8000000000000003,2,0.8766488413547238,0.1158432708688245,0.081437125748503,0.2005899705014749
142,tsdae_model,pretraining,0.8500000000000003,2,0.8975044563279857,0.027072758037225,0.0143712574850299,0.233009708737864
143,tsdae_model,pretraining,0.9000000000000004,2,0.9005347593582887,0.0082938388625592,0.004191616766467,0.3888888888888889
144,job_models,level1,0.5,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
145,job_models,level1,0.55,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
146,job_models,level1,0.6000000000000001,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
147,job_models,level1,0.6500000000000001,2,0.0991681521093285,0.1804421860641115,0.9994011976047904,0.0991740448036128
148,job_models,level1,0.7000000000000002,2,0.1024361259655377,0.1800911854103343,0.9934131736526948,0.0990211292825593
149,job_models,level1,0.7500000000000002,2,0.1963161021984551,0.1824226305609284,0.9035928143712576,0.1014521984671238
150,job_models,level1,0.8000000000000003,2,0.6373737373737374,0.1863751499800026,0.418562874251497,0.1198765220373863
151,job_models,level1,0.8500000000000003,2,0.8828282828282829,0.0844939647168059,0.0544910179640718,0.1880165289256198
152,job_models,level1,0.9000000000000004,2,0.8998217468805704,0.0117233294255568,0.0059880239520958,0.2777777777777778
153,concept_models,level3,0.5,2,0.1144385026737968,0.1810089020771513,0.9862275449101796,0.0996490803484995
154,concept_models,level3,0.55,2,0.1310160427807486,0.1810851671426171,0.9682634730538924,0.0998826363580208
155,concept_models,level3,0.6000000000000001,2,0.1616161616161616,0.1808893533031464,0.932934131736527,0.1001542813062484
156,concept_models,level3,0.6500000000000001,2,0.2101010101010101,0.1807986196697066,0.8784431137724551,0.1007693364473141
157,concept_models,level3,0.7000000000000002,2,0.2905525846702317,0.1823037940008218,0.7970059880239521,0.1029229817506959
158,concept_models,level3,0.7500000000000002,2,0.4015448603683897,0.183660236667207,0.6784431137724551,0.1062054743157105
159,concept_models,level3,0.8000000000000003,2,0.5414141414141415,0.1846608916120853,0.5233532934131736,0.112108773730118
160,concept_models,level3,0.8500000000000003,2,0.6941770647653001,0.1729069580588141,0.3221556886227545,0.1181638480122995
161,concept_models,level3,0.9000000000000004,2,0.8191919191919191,0.1420919086552015,0.1508982035928143,0.1342567927543953
162,full_model2,alt,0.5,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
163,full_model2,alt,0.55,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
164,full_model2,alt,0.6000000000000001,2,0.1003565062388591,0.180282605164853,0.997005988023952,0.099101243973573
165,full_model2,alt,0.6500000000000001,2,0.1180035650623885,0.1803423522915516,0.9778443113772456,0.099330900243309
166,full_model2,alt,0.7000000000000002,2,0.2620915032679738,0.186865710731356,0.8544910179640719,0.1049033301477615
167,full_model2,alt,0.7500000000000002,2,0.6117052881758764,0.2077827615468541,0.5131736526946108,0.1302629578963368
168,full_model2,alt,0.8000000000000003,2,0.8453357100415924,0.175483053531834,0.1658682634730539,0.1862811028917283
169,full_model2,alt,0.8500000000000003,2,0.8944741532976828,0.0553191489361702,0.0311377245508982,0.2476190476190476
170,full_model2,alt,0.9000000000000004,2,0.9003565062388592,0.0106194690265486,0.0053892215568862,0.36
171,job_models,alt,0.5,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
172,job_models,alt,0.55,2,0.1007130124777183,0.1803411860276198,0.997005988023952,0.0991366478118487
173,job_models,alt,0.6000000000000001,2,0.1392751039809863,0.1815819209039547,0.9622754491017964,0.1002495321272613
174,job_models,alt,0.6500000000000001,2,0.3966726084373143,0.1970583583741894,0.7461077844311377,0.1135204081632653
175,job_models,alt,0.7000000000000002,2,0.7373737373737373,0.2253767963547143,0.3850299401197605,0.1593161546085233
176,job_models,alt,0.7500000000000002,2,0.8646464646464647,0.1416729464958553,0.1125748502994012,0.1910569105691057
177,job_models,alt,0.8000000000000003,2,0.894058229352347,0.0510910058541777,0.0287425149700598,0.2296650717703349
178,job_models,alt,0.8500000000000003,2,0.8995840760546643,0.014002333722287,0.0071856287425149,0.2727272727272727
179,job_models,alt,0.9000000000000004,2,0.9005941770647653,0.0047590719809637,0.0023952095808383,0.3636363636363636
180,full_models2,level2,0.5,2,0.1003565062388591,0.18054879038805,0.9988023952095808,0.0992443624680192
181,full_models2,level2,0.55,2,0.1213903743315508,0.1794572998168803,0.9682634730538924,0.0988930340651947
182,full_models2,level2,0.6000000000000001,2,0.1847296494355318,0.1770527199664127,0.8838323353293414,0.0983803239352129
183,full_models2,level2,0.6500000000000001,2,0.2598336304218657,0.1783523514280061,0.8095808383233533,0.1002149581202283
184,full_models2,level2,0.7000000000000002,2,0.3173499702911467,0.1770646801805028,0.7401197604790419,0.1005613863802782
185,full_models2,level2,0.7500000000000002,2,0.3857991681521093,0.1724441597950524,0.6449101796407186,0.0995286942057111
186,full_models2,level2,0.8000000000000003,2,0.4717171717171717,0.1672754519059661,0.5347305389221557,0.0991451093593871
187,full_models2,level2,0.8500000000000003,2,0.5941176470588235,0.1625597646193453,0.3970059880239521,0.1022044088176352
188,full_models2,level2,0.9000000000000004,2,0.7215092097445038,0.1501359927470535,0.2479041916167664,0.1076723016905071
189,concept_models,alt,0.5,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
190,concept_models,alt,0.55,2,0.1006535947712418,0.1803314199068558,0.997005988023952,0.0991307454155751
191,concept_models,alt,0.6000000000000001,2,0.1392751039809863,0.1815819209039547,0.9622754491017964,0.1002495321272613
192,concept_models,alt,0.6500000000000001,2,0.3963161021984551,0.1969649067341132,0.7461077844311377,0.1134583864505554
193,concept_models,alt,0.7000000000000002,2,0.7374331550802139,0.2256877518836516,0.38562874251497,0.1595243993064156
194,concept_models,alt,0.7500000000000002,2,0.8645276292335116,0.1415662650602409,0.1125748502994012,0.1906693711967545
195,concept_models,alt,0.8000000000000003,2,0.894058229352347,0.0510910058541777,0.0287425149700598,0.2296650717703349
196,concept_models,alt,0.8500000000000003,2,0.8995840760546643,0.014002333722287,0.0071856287425149,0.2727272727272727
197,concept_models,alt,0.9000000000000004,2,0.9005941770647653,0.0047590719809637,0.0023952095808383,0.3636363636363636
198,job_models,level3,0.5,2,0.107070707070707,0.1804101221640488,0.9904191616766468,0.0992439697587903
199,job_models,level3,0.55,2,0.1163398692810457,0.1803350970017637,0.9796407185628744,0.0993080004856137
200,job_models,level3,0.6000000000000001,2,0.1319073083778966,0.180318671454219,0.9622754491017964,0.0994800049523337
201,job_models,level3,0.6500000000000001,2,0.1571004159239453,0.1785755645628257,0.9233532934131736,0.0988461538461538
202,job_models,level3,0.7000000000000002,2,0.2092691622103386,0.178923988153998,0.8682634730538922,0.0997386160407208
203,job_models,level3,0.7500000000000002,2,0.2956625074272133,0.1811273832550428,0.7850299401197605,0.102373887240356
204,job_models,level3,0.8000000000000003,2,0.4205585264408794,0.1789863613402929,0.6365269461077845,0.1041340125391849
205,job_models,level3,0.8500000000000003,2,0.6030897207367796,0.1740850642927794,0.4215568862275449,0.1096914926768463
206,job_models,level3,0.9000000000000004,2,0.7775401069518717,0.1436413540713632,0.1880239520958083,0.1162102146558105
207,concept_models,level1,0.5,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
208,concept_models,level1,0.55,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
209,concept_models,level1,0.6000000000000001,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
210,concept_models,level1,0.6500000000000001,2,0.0992275698158051,0.1805405405405405,1.0,0.0992275698158051
211,concept_models,level1,0.7000000000000002,2,0.1027332144979203,0.1804070556309362,0.9952095808383232,0.0991942703670546
212,concept_models,level1,0.7500000000000002,2,0.2436720142602495,0.1836721605848778,0.8574850299401198,0.102851396969044
213,concept_models,level1,0.8000000000000003,2,0.7399881164587047,0.195292386906951,0.3179640718562874,0.1409235668789809
214,concept_models,level1,0.8500000000000003,2,0.8916815210932858,0.0636877247046738,0.037125748502994,0.223826714801444
215,concept_models,level1,0.9000000000000004,2,0.9,0.009417304296645,0.0047904191616766,0.2758620689655172
216,concept_models,level2,0.5,2,0.0993464052287581,0.1804714532871972,0.9994011976047904,0.0991917270890288
217,concept_models,level2,0.55,2,0.177361853832442,0.1840042435315612,0.9347305389221556,0.1020461528404262
218,concept_models,level2,0.6000000000000001,2,0.6165181224004753,0.1990568379250434,0.4802395209580838,0.1255479023168441
219,concept_models,level2,0.6500000000000001,2,0.8434343434343434,0.1442026632023384,0.1329341317365269,0.1575585521646557
220,concept_models,level2,0.7000000000000002,2,0.890255496137849,0.0695214105793451,0.041317365269461,0.219047619047619
221,concept_models,level2,0.7500000000000002,2,0.8985145573380867,0.0206422018348623,0.0107784431137724,0.2432432432432432
222,concept_models,level2,0.8000000000000003,2,0.9000594177064766,0.0105882352941176,0.0053892215568862,0.3
223,concept_models,level2,0.8500000000000003,2,0.9007130124777184,0.0047647409172126,0.0023952095808383,0.4444444444444444
224,concept_models,level2,0.9000000000000004,2,0.9006535947712418,0.001194743130227,0.0005988023952095,0.25
225,job_models,level2,0.5,2,0.0994058229352347,0.1805698221333189,1.0,0.0992452605930944
226,job_models,level2,0.55,2,0.4939393939393939,0.2086778779150794,0.6724550898203593,0.1235015946332343
227,job_models,level2,0.6000000000000001,2,0.8026143790849674,0.189360663738409,0.2323353293413173,0.1598023064250411
228,job_models,level2,0.6500000000000001,2,0.8757575757575757,0.1029601029601029,0.0718562874251497,0.1815431164901664
229,job_models,level2,0.7000000000000002,2,0.894058229352347,0.044991965720407,0.0251497005988023,0.2131979695431472
230,job_models,level2,0.7500000000000002,2,0.8987522281639929,0.0229357798165137,0.0119760479041916,0.2702702702702703
231,job_models,level2,0.8000000000000003,2,0.8999405822935235,0.0070754716981132,0.0035928143712574,0.2307692307692307
232,job_models,level2,0.8500000000000003,2,0.9003565062388592,0.0023795359904818,0.0011976047904191,0.1818181818181818
233,job_models,level2,0.9000000000000004,2,0.9005347593582887,0.0011933174224343,0.0005988023952095,0.1666666666666666
