,threshold,fpr,tpr
0,0.0,0.9997766610831937,1.0
1,0.01,0.9997766610831937,1.0
2,0.02,0.9997766610831937,1.0
3,0.03,0.9997766610831937,1.0
4,0.04,0.9997766610831937,1.0
5,0.05,0.9997766610831937,1.0
6,0.06,0.9997766610831937,1.0
7,0.07,0.9997766610831937,1.0
8,0.08,0.9997766610831937,1.0
9,0.09,0.9997766610831937,1.0
10,0.1,0.9997766610831937,1.0
11,0.11,0.9997766610831937,1.0
12,0.12,0.9997766610831937,1.0
13,0.13,0.9997766610831937,1.0
14,0.14,0.9997766610831937,1.0
15,0.15,0.9997766610831937,1.0
16,0.16,0.9997766610831937,1.0
17,0.17,0.9997766610831937,1.0
18,0.18,0.9997766610831937,1.0
19,0.19,0.9997766610831937,1.0
20,0.2,0.9997766610831937,1.0
21,0.21,0.9997766610831937,1.0
22,0.22,0.9997766610831937,1.0
23,0.23,0.9997766610831937,1.0
24,0.24,0.9997766610831937,1.0
25,0.25,0.9997766610831937,1.0
26,0.26,0.9997766610831937,1.0
27,0.27,0.9997766610831937,1.0
28,0.28,0.9997766610831937,1.0
29,0.29,0.9997766610831937,1.0
30,0.3,0.9997766610831937,1.0
31,0.31,0.9997766610831937,1.0
32,0.32,0.9997766610831937,1.0
33,0.33,0.9997766610831937,1.0
34,0.34,0.9997766610831937,1.0
35,0.35000000000000003,0.9997766610831937,1.0
36,0.36,0.9997766610831937,1.0
37,0.37,0.9997766610831937,1.0
38,0.38,0.9997766610831937,1.0
39,0.39,0.9997766610831937,1.0
40,0.4,0.9997766610831937,1.0
41,0.41000000000000003,0.9997766610831937,1.0
42,0.42,0.9997766610831937,1.0
43,0.43,0.9997766610831937,1.0
44,0.44,0.9997766610831937,1.0
45,0.45,0.9997766610831937,1.0
46,0.46,0.9997766610831937,1.0
47,0.47000000000000003,0.9997766610831937,1.0
48,0.48,0.9997766610831937,1.0
49,0.49,0.9997766610831937,1.0
50,0.5,0.9997766610831937,1.0
51,0.51,0.9997766610831937,1.0
52,0.52,0.9997766610831937,1.0
53,0.53,0.9997208263539922,1.0
54,0.54,0.9983807928531546,0.9994974874371859
55,0.55,0.9937465103294248,0.9969849246231156
56,0.56,0.9825795644891122,0.9959798994974874
57,0.5700000000000001,0.9579564489112228,0.9894472361809046
58,0.58,0.9112786152987158,0.9854271356783919
59,0.59,0.8460636515912898,0.9778894472361809
60,0.6,0.7691233947515355,0.9678391959798995
61,0.61,0.6821887213847013,0.9422110552763819
62,0.62,0.5850921273031826,0.9080402010050251
63,0.63,0.49140145170295924,0.8663316582914573
64,0.64,0.4068676716917923,0.8276381909547739
65,0.65,0.3318257956448911,0.7748743718592965
66,0.66,0.2646566164154104,0.7150753768844221
67,0.67,0.2114461194863205,0.6537688442211055
68,0.68,0.16750418760469013,0.5879396984924623
69,0.6900000000000001,0.13054159687325517,0.5190954773869346
70,0.7000000000000001,0.10312674483528755,0.4467336683417085
71,0.71,0.0820212171970966,0.3964824120603015
72,0.72,0.06471245114461195,0.3457286432160804
73,0.73,0.052037967615857064,0.2989949748743719
74,0.74,0.04103852596314908,0.25979899497487435
75,0.75,0.033668341708542715,0.21608040201005024
76,0.76,0.028531546621998884,0.18542713567839195
77,0.77,0.023618090452261306,0.16030150753768843
78,0.78,0.019653824678950306,0.12964824120603016
79,0.79,0.01619207146845338,0.10904522613065326
80,0.8,0.013567839195979899,0.08743718592964825
81,0.81,0.011278615298715801,0.07537688442211055
82,0.8200000000000001,0.00893355667225014,0.06984924623115578
83,0.8300000000000001,0.007370184254606365,0.05979899497487437
84,0.84,0.006644332774986042,0.044221105527638194
85,0.85,0.005806811836962591,0.03768844221105527
86,0.86,0.005080960357342267,0.032160804020100506
87,0.87,0.004075935231714126,0.026633165829145728
88,0.88,0.003740926856504746,0.023618090452261306
89,0.89,0.0034059184812953655,0.016080402010050253
90,0.9,0.0032384142936906757,0.01306532663316583
91,0.91,0.0021775544388609714,0.010050251256281407
92,0.92,0.0013958682300390843,0.008542713567839196
93,0.93,0.0007258514796203238,0.007035175879396985
94,0.9400000000000001,0.0005583472920156337,0.006030150753768844
95,0.9500000000000001,0.00022333891680625348,0.0035175879396984926
96,0.96,0.00022333891680625348,0.0020100502512562816
97,0.97,0.00016750418760469013,0.0
98,0.98,0.00016750418760469013,0.0
99,0.99,0.00016750418760469013,0.0
