,model,level,threshold,method,accuracy,f1_score,recall,precision
0,base_model,,0.5,method2,0.10020100502512563,0.18185141186146395,1.0,0.10002010454362686
1,base_model,,0.55,method2,0.10532663316582914,0.1822524343193092,0.9969849246231156,0.10029319583459712
2,base_model,,0.6000000000000001,method2,0.304572864321608,0.2177378327963371,0.9678391959798995,0.12266734602891535
3,base_model,,0.6500000000000001,method2,0.6788442211055277,0.3254881266490765,0.7748743718592965,0.20601202404809618
4,base_model,,0.7000000000000002,method2,0.8518592964824121,0.3762166737198476,0.4467336683417085,0.32492690058479534
5,base_model,,0.7500000000000002,method2,0.8913065326633166,0.2844856103208733,0.21608040201005024,0.41626331074540174
6,base_model,,0.8000000000000003,method2,0.8965326633165829,0.14457831325301204,0.08743718592964825,0.4172661870503597
7,base_model,,0.8500000000000003,method2,0.8985427135678392,0.06915629322268327,0.03768844221105527,0.41899441340782123
8,base_model,,0.9000000000000004,method2,0.898391959798995,0.02507232401157184,0.01306532663316583,0.30952380952380953
9,concept_model,alt,0.5,method2,0.10020100502512563,0.18185141186146395,1.0,0.10002010454362686
10,concept_model,alt,0.55,method2,0.10412060301507538,0.18205175261515874,0.9969849246231156,0.10017166515197415
11,concept_model,alt,0.6000000000000001,method2,0.2907537688442211,0.21484201157098354,0.9703517587939698,0.12079319404478919
12,concept_model,alt,0.6500000000000001,method2,0.665427135678392,0.3203348305430788,0.7884422110552763,0.20099923136049194
13,concept_model,alt,0.7000000000000002,method2,0.8484924623115578,0.3782223138791504,0.46080402010050253,0.32074151801329137
14,concept_model,alt,0.7500000000000002,method2,0.8907035175879398,0.29037520391517124,0.2236180904522613,0.413953488372093
15,concept_model,alt,0.8000000000000003,method2,0.895929648241206,0.14738575545491972,0.0899497487437186,0.40774487471526194
16,concept_model,alt,0.8500000000000003,method2,0.8985427135678392,0.0708697653014266,0.03869346733668342,0.4207650273224044
17,concept_model,alt,0.9000000000000004,method2,0.898391959798995,0.02507232401157184,0.01306532663316583,0.30952380952380953
18,job_model,alt,0.5,method2,0.10020100502512563,0.18185141186146395,1.0,0.10002010454362686
19,job_model,alt,0.55,method2,0.10412060301507538,0.18205175261515874,0.9969849246231156,0.10017166515197415
20,job_model,alt,0.6000000000000001,method2,0.2909045226130653,0.2148778723641017,0.9703517587939698,0.1208158668585372
21,job_model,alt,0.6500000000000001,method2,0.6656783919597989,0.32049841691349196,0.7884422110552763,0.20112806050506346
22,job_model,alt,0.7000000000000002,method2,0.848643216080402,0.37845645893520435,0.46080402010050253,0.32107843137254904
23,job_model,alt,0.7500000000000002,method2,0.8905025125628141,0.28953374633192047,0.22311557788944725,0.41225626740947074
24,job_model,alt,0.8000000000000003,method2,0.8959798994974875,0.14603960396039603,0.08894472361809046,0.4078341013824885
25,job_model,alt,0.8500000000000003,method2,0.8985929648241207,0.070902394106814,0.03869346733668342,0.4230769230769231
26,job_model,alt,0.9000000000000004,method2,0.898391959798995,0.02507232401157184,0.01306532663316583,0.30952380952380953
27,tsdae_model,,0.5,method2,0.10025125628140703,0.18185972127027644,1.0,0.10002513194269917
28,tsdae_model,,0.55,method2,0.10170854271356784,0.1819513088046861,0.9989949748743718,0.10009062531467124
29,tsdae_model,,0.6000000000000001,method2,0.13170854271356783,0.1852986939506813,0.9874371859296482,0.10224257245434205
30,tsdae_model,,0.6500000000000001,method2,0.2505025125628141,0.20142421159715157,0.9452261306532663,0.11272247857613711
31,tsdae_model,,0.7000000000000002,method2,0.49090452261306533,0.2455879067689329,0.828643216080402,0.14415595768860914
32,tsdae_model,,0.7500000000000002,method2,0.7165829145728643,0.29181315921647416,0.5839195979899497,0.19450954134583193
33,tsdae_model,,0.8000000000000003,method2,0.8452261306532663,0.2813812412505833,0.30301507537688444,0.2626306620209059
34,tsdae_model,,0.8500000000000003,method2,0.8888442211055276,0.1903367496339678,0.1306532663316583,0.3504043126684636
35,tsdae_model,,0.9000000000000004,method2,0.8992964824120603,0.07649769585253456,0.04170854271356784,0.46111111111111114
